study,n_reviews,reviews
liu 2020,7,CD004703;CD011689;CD012586;CD013105;CD013631;CD014872;CD016120
yang 2020,7,CD006536;CD009362;CD012214;CD012712;CD013111;CD013295;CD013844
lee 2015,6,CD001920;CD006023;CD006140;CD008552;CD008709;CD013445
park 2021,6,CD001920;CD005595;CD008349;CD011841;CD013763;CD016001
li 2016,6,CD002243;CD009788;CD012397;CD012586;CD014852;CD015536
lee 2019,6,CD004376;CD006185;CD008349;CD009362;CD010216;CD013342
chen 2020,6,CD008709;CD009362;CD011841;CD012079;CD013358;CD013763
wang 2021,5,CD001431;CD003331;CD009749;CD014872;CD015495
kim 2016,5,CD001920;CD011762;CD013197;CD013800;CD014820
kim 2018,5,CD001920;CD006536;CD011120;CD015087;CD015820
chen 2021,5,CD004376;CD013342;CD014872;CD015219;CD016136
kim 2020,5,CD004376;CD006185;CD013166;CD013303;CD015014
li 2018,5,CD006632;CD012503;CD013800;CD014833;CD015536
li 2013,4,CD001155;CD001920;CD013071;CD015284
li 2010,4,CD001155;CD012268;CD015160;CD015328
huang 2014,4,CD001920;CD002115;CD002243;CD015229
kim 2013,4,CD002112;CD004376;CD011841;CD014820
liu 2012,4,CD002243;CD003962;CD004736;CD012718
xu 2021,4,CD003414;CD008349;CD014722;CD015698
liu 2019,4,CD003962;CD004376;CD015328;CD015331
hu 2020,4,CD004376;CD013781;CD015284;CD015518
lee 2023,4,CD004376;CD008879;CD016119;CD016278
lee 2013,4,CD006023;CD008349;CD009022;CD016001
zhang 2021,4,CD006536;CD011575;CD012712;CD013763
chen 2016,4,CD008145;CD011627;CD011762;CD012925
li 2019,4,CD012712;CD014722;CD014964;CD015328
ramos 2003,4,CD013051;CD013052;CD013053;CD013054
zhang 2019,3,CD001552;CD012623;CD013821
kim 2019,3,CD001837;CD010856;CD013197
wang 2022,3,CD001920;CD002290;CD015830
cheng 2021,3,CD001920;CD012712;CD014722
xu 2015,3,CD001920;CD013462;CD015328
knox 2018,3,CD001920;CD016001;CD016002
lee 2018,3,CD001920;CD009252;CD010216
yang 2017,3,CD001920;CD009679;CD015788
tang 2009,3,CD001920;CD008771;CD013844
meng 2022,3,CD001920;CD006185;CD015448
shin 2011,3,CD001920;CD006404;CD016002
wang 2020,3,CD002052;CD012712;CD015820
wang 2009,3,CD002112;CD013331;CD015387
sinha 2019,3,CD002290;CD009679;CD013763
uddin 2016,3,CD002290;CD008145;CD012925
liu 2021,3,CD003477;CD013445;CD013763
zhang 2023,3,CD003519;CD006185;CD014758
li 2006,3,CD003962;CD006712;CD013332
wilson 2023,3,CD004307;CD013591;CD016131
baker 2001,3,CD004376;CD011866;CD013468
chen 2014,3,CD004376;CD006023;CD013731
guo 2022,3,CD004376;CD007374;CD015592
li 2020,3,CD004376;CD012503;CD013631
wang 2011,3,CD004376;CD008709;CD015387
kumar 2013,3,CD004376;CD015122;CD016001
bansal 2017,3,CD004703;CD008176;CD015122
li 2012,3,CD005951;CD013561;CD014966
lin 2010,3,CD006023;CD015014;CD016119
lee 2022,3,CD006185;CD013197;CD014758
park 2018,3,CD006185;CD008349;CD013853
kim 2010,3,CD006475;CD009749;CD010001
lee 2014,3,CD006536;CD013344;CD014763
wang 2018,3,CD006632;CD013295;CD015328
lee 2021,3,CD006913;CD011841;CD013853
gao 2019,3,CD007837;CD012718;CD015326
choi 2021,3,CD008349;CD013429;CD015746
kim 2009,3,CD008349;CD013303;CD015387
ward 2020,3,CD008552;CD014722;CD015326
kim 2023,3,CD009022;CD011197;CD013342
zhang 2022,3,CD009235;CD012503;CD013342
lee 2017,3,CD011044;CD013332;CD014428
torii 2010,3,CD011535;CD013614;CD014741
zhou 2023,3,CD011762;CD011841;CD014758
chen 2019,3,CD011851;CD012712;CD013827
zheng 2019,3,CD011851;CD013763;CD015284
yang 2019,3,CD012586;CD013166;CD013763
liu 2022,3,CD012693;CD015328;CD015849
zhu 2021,3,CD012712;CD013827;CD014758
esposito 1990,3,CD013051;CD013052;CD013053
de miguel 1999,3,CD013052;CD013053;CD013054
al-abbasi 2006,3,CD013054;CD013055;CD013056
marcus 2009,3,CD013232;CD014965;CD015328
xu 2023,3,CD013295;CD013800;CD014758
wu 2021,3,CD013821;CD013844;CD014964
zhao 2021,3,CD014758;CD014833;CD015219
shep 1991,2,CD000028;CD006742
spiro 2006,2,CD000219;CD004417
little 2001,2,CD000219;CD004417
brown 2009,2,CD001155;CD015673
miller 2008,2,CD001155;CD015387
russo 1996,2,CD001155;CD003376
iwamoto 2005,2,CD001155;CD003376
atmaca 2006,2,CD001155;CD006257
köşüş 2005,2,CD001155;CD003376
sahota 2000,2,CD001155;CD003376
miller 2011,2,CD001155;CD001431
fernandes 2016,2,CD001321;CD011626
singh 2016,2,CD001321;CD007156
eriksson 1995,2,CD001396;CD015038
mathieu 2007,2,CD001431;CD013822
mathieu 2010,2,CD001431;CD013822
roberto 2020,2,CD001431;CD013822
singh 2019,2,CD001431;CD013763
